,search_term,_ - eng_search_key,Class,_ - url,_ - Название,Comment on relevancs,_ - Номер ГИМ,_ - Отдел/коллекция,_ - Инвентарный номер,_ - Датировка,_ - Размер,"_ - Материал, техника",_ - Номер ГК,_ - Ключевые слова,_ - Место создания,Contemporary_Toponyms,fcodeName,toponymName,coordinates,lat,long,Country,geonames 3,"_ - Автор, мастер/Изготовитель",_ - Шифр ОПИ,_ - Комплект,_ - Место находки,_ - Формат,"_ - Лист, страницы",_ - Археологический памятник,_ - Персоналии,_ - Многотомное издание: автор,_ - Многотомное издание: Название,_ - Экспозиция,_ - Выставки,_ - Альбомы,_ - Аннотация
121,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816675?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=41,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1294,Письменные источники/Письменные источники,Арх. 6988,9 июля 1991 г.,"Лист 1: 21,1х15,7 см; лист 2: 21,1х14,7 см","Бумага, синяя шариковая ручка, рукопись",25565740.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
122,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816676?page=2&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=54,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1295,Письменные источники/Письменные источники,Арх. 6988,21 октября 1991 г.,"23,9х16,7 см","Бумага-калька, синяя шариковая ручка, рукопись",25565892.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
123,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816677?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=19,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1296,Письменные источники/Письменные источники,Арх. 6988,9 ноября 1991 г.,"28х18,2 см","Бумага-калька, синяя шариковая ручка, рукопись",25565646.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
124,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816678?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=20,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1297,Письменные источники/Письменные источники,Арх. 6988,17 декабря 1991 г.,"28,8х19,9 см","Бумага-калька, синяя шариковая ручка, рукопись",25570299.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
125,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816679?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=21,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1298,Письменные источники/Письменные источники,Арх. 6988,11 февраля 1992 г.,"27,1х18 см","Бумага-калька, синяя шариковая ручка, рукопись",25570549.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
126,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816680?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=25,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1299,Письменные источники/Письменные источники,Арх. 6988,27 февраля 1992 г.,"Лист 1: 24,5х17,1 см; лист 2: 9,7х16,9 см","Бумага-калька, синяя шариковая ручка, рукопись",25570228.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
127,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816681?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=28,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1300,Письменные источники/Письменные источники,Арх. 6988,4 августа 1992 г.,"Лист 1: 24,5х17,1 см; лист 2: 9,7х16,9 см","Бумага, синяя шариковая ручка, рукопись",25570218.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
128,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816682?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=31,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1301,Письменные источники/Письменные источники,Арх. 6988,23 марта 1993 г.,"Лист 1: 20,7х16,7 см; лист 2: 10,3х16,8 см","Бумага, синяя шариковая ручка, рукопись",25570256.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
129,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816683?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=40,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1302,Письменные источники/Письменные источники,Арх. 6988,24 декабря 1993 г.,"20,8х7,9 см","Бумага, синяя шариковая ручка, рукопись",25570219.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
130,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816684?page=2&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=55,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1303,Письменные источники/Письменные источники,Арх. 6988,7 мая 1994 г.,"Лист 1: 19х14,8 см; лист 2: 8,9х12,7 см","Бумага, синяя шариковая ручка, рукопись",25570226.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
131,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816685?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=44,Письмо – черновик Розановой М.А. из г. Кассис (юг Франции) к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1304,Письменные источники/Письменные источники,Арх. 6988,29 октября 1994 г.,"21х14,9 см","Бумага, чернила черные, рукопись",25570164.0,чернила Израиль Франция,"Франция, г. Кассис","Франция, Кассис",populated place,Cassis,"43.21571,5.53855",43.21571,5.53855,France,"city, village,...",,Ф.344,,,,,,,,,,,,
132,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816686?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=46,Письмо – черновик Розановой М.А. из Москвы (РФ) к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1305,Письменные источники/Письменные источники,Арх. 6988,21 апреля 1995 г.,"21х14,8 см","Бумага, синяя шариковая ручка, рукопись",25570161.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
133,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816687?page=2&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=57,Письмо – черновик Розановой М.А. из Москвы (РФ) к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1306,Письменные источники/Письменные источники,Арх. 6988,13 сентября 1995 г.,"16,7х10 см","Бумага, синяя шариковая ручка, рукопись",25570641.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
134,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816688?page=2&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=58,Письмо – черновик Розановой М.А. из Москвы (РФ) к подруге Любецкой Э.М. в Тель-Авив (Израиль).,,ГИМ 114846/1307,Письменные источники/Письменные источники,Арх. 6988,19 марта 1995 г.,"28,8х19,9 см","Бумага, синяя шариковая ручка, рукопись",25570252.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
135,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816689?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=151,Письмо к Розановой М.А. и её семье в Москву (СССР) от Любецкой Э.М. из г. Тель–Авива.,,ГИМ 114846/1308,Письменные источники/Письменные источники,Арх. 6988,5 июля 1974 г.,"22,8х15,9 см","Бумага, черная шариковая ручка, рукопись",25570591.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
136,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816690?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=152,Письмо к Розановой М.А. в Москву (СССР) от Любецкого Э.С. из г. Тель–Авива.,,ГИМ 114846/1309,Письменные источники/Письменные источники,Арх. 6988,18 июля 1974 г.,"20,4х14,3 см","Бумага почтовая, черная шариковая ручка, рукопись",25570265.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
137,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816691?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=153,Письмо Розановым М.А. и Н.П. в Москву (СССР) от Любецкой Э.М. из г. Тель – Авива.,,ГИМ 114846/1310,Письменные источники/Письменные источники,Арх. 6988,28 сентября 1989 г.,"Лист 1: 29,5х21 см; лист 2: 28,3х20,8 см","Бумага, синяя шариковая ручка, рукопись",25570290.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
138,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816692?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=154,Конверт-авиа к письму Любецкой Э.М. с указанием адресов корреспондента и адресата.,,ГИМ 114846/1311,Письменные источники/Письменные источники,Арх. 6988,28 сентября 1989 г.,"Лист 1 - конверт: 10х22,4 см; лист 2 - марка: 1,9х2,9 см; лист 3- марка: 3,1х3,1 см; лист 4 - марка: 4х3,1 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570676.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
139,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816693?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=155,Письмо к Розановой М.А. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1312,Письменные источники/Письменные источники,Арх. 6988,25 октября 1989 г.,"29,5х20,9 см","Бумага, синяя шариковая ручка, рукопись",25570580.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
140,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816694?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=156,Конверт-авиа к письму Любецкой Э.М. от 25 октября 1989 г. с адресами корреспондента и адресата.,,ГИМ 114846/1313,Письменные источники/Письменные источники,Арх. 6988,25 октября – 23 ноября 1989 г.,"Лист 1: 10х22,9 см; лист 2 - марка: 2х3,4 см; лист 3-5 - марки: 2,6х2 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570279.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
141,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816695?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=157,Письмо к Розановой М.А. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1314,Письменные источники/Письменные источники,Арх. 6988,7 ноября 1989 г.,"29,5х20,9 см","Бумага, синяя шариковая ручка, рукопись",25570259.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
142,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816696?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=158,Конверт-авиа к письму Любецкой Э.М. от 7 ноября 1989 г. с адресами корреспондента и адресата.,,ГИМ 114846/1315,Письменные источники/Письменные источники,Арх. 6988,25 октября – 23 ноября 1989 г.,"Лист 1 - конверт: 9,9х22 см; лист 2 - марка-авиа: 2х3,5 см; лист 3 - марка: 2,5х2 см; лист 4: 2,7х3,5 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570677.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
143,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816697?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=159,Письмо Розановым М.А. и Н.П. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1316,Письменные источники/Письменные источники,Арх. 6988,15 ноября 1989 г.,"Лист 1-2: 21х16,5 см; лист 3: 10,4х16,3 см","Бумага, черная шариковая ручка, рукопись",25570592.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
144,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816698?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=160,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1317,Письменные источники/Письменные источники,Арх. 6988,15 ноября 1989 г.,"Лист 1 - конверт: 9,7х18,6 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570520.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
145,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816699?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=161,Письмо Розановой М.А. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1318,Письменные источники/Письменные источники,Арх. 6988,30 ноября 1989 г.,"20,9х16,4 см","Бумага, синяя шариковая ручка, рукопись",25570230.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
146,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816700?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=162,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1319,Письменные источники/Письменные источники,Арх. 6988,30 ноября 1989 г.,"Лист 1 -конверт: 9,9х20,9 см; лист 2 - марка: 2х3,5 см; лист 3 - марка: 2,6х3,4 см; лист 4 - марка: 2,6х2 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570262.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
147,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816701?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=163,Письмо Розановым М.А. и Н.П. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1320,Письменные источники/Письменные источники,Арх. 6988,1 декабря 1989 г.,"21х16,4 см","Бумага, синяя шариковая ручка, рукопись",25570141.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
148,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816702?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=164,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1321,Письменные источники/Письменные источники,Арх. 6988,1 декабря 1989 г.,"Лист 1: 9,9х22,9 см; лист 2 - марка: 2х3,4 см; лист 3 - марка: 2,6 см; лист 4 - марка: 2,6х2 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570217.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
149,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816703?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=165,Письмо к Розановой М.А. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1322,Письменные источники/Письменные источники,Арх. 6988,8 декабря 1989 г.,"21х16,5 см","Бумага, синяя шариковая ручка, рукопись",25570552.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
150,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816704?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=166,Открытка – поздравление к Розановым М.А. и Н.П. в Москву (СССР) от Любецких Э.М. и Э.И. из г. Тель-Авива.,,ГИМ 114846/1323,Письменные источники/Письменные источники,Арх. 6988,8 декабря 1989 г.,"17,2х9,3 см (в закрытом виде)","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570557.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
151,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816705?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=167,Конверт-авиа к письму и открытке Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1324,Письменные источники/Письменные источники,Арх. 6988,8 декабря 1989 г.,"Лист 1 - конверт: 9,8х18,5 см; лист 2 - марка-авиа: 2х3,5 см; лист 3 - марка: 2,6х2 см; лист 4 - марка: 2,5х3,4 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570165.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
152,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816706?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=168,Письмо к Розановым М.А. и Н.П. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1325,Письменные источники/Письменные источники,Арх. 6988,15 декабря 1989 г.,"21х16,3 см","Бумага, синяя шариковая ручка, рукопись",25570137.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
153,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816707?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=169,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1326,Письменные источники/Письменные источники,Арх. 6988,15 декабря 1989 г.,"Лист 1 - конверт: 9,9х22,9 см; лист 2 - марка-авиа: 2х3,5 см; лист 3 - марка: 2,5х2 см; лист 4 -марка: 2,6х3,4 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570554.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
154,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816708?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=170,Письмо к Розановой М.А. в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1327,Письменные источники/Письменные источники,Арх. 6988,30 декабря 1989 г.,"21х16,3 см","Бумага, синяя шариковая ручка, рукопись",25570134.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
155,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816709?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=171,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1328,Письменные источники/Письменные источники,Арх. 6988,30 декабря 1989 г.,"Лист 1 - конверт: 9,9х22,9 см; лист 2 - марка-авиа: 2х3,6 см; лист 3 - марка: 4х2,6 см; лист 4: 2,2х2 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570257.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
156,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816710?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=172,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1329,Письменные источники/Письменные источники,Арх. 6988,8 января 1990 г.,"21х16,4 см","Бумага, синяя шариковая ручка, рукопись",25570305.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
157,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816711?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=173,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1330,Письменные источники/Письменные источники,Арх. 6988,8 января 1990 г.,"Лист 1 - конверт: 10,5х22,6 см; лист 2 - марка: 4х3 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570561.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
158,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816712?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=174,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1331,Письменные источники/Письменные источники,Арх. 6988,24 января 1990 г.,"21х16,3 см","Бумага, синяя шариковая ручка, рукопись",25570553.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
159,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816713?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=175,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1332,Письменные источники/Письменные источники,Арх. 6988,24 января 1990 г.,"Лист 1 - конверт: 10,1х22,8 см; лист 2 - марка: 3х4 см","Бумага, черная шариковая ручка, печать типографская, рукопись",25570255.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
160,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816714?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=176,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1333,Письменные источники/Письменные источники,Арх. 6988,13 февраля 1990 г.,"21,5х16,1 см","Бумага, синяя шариковая ручка, рукопись",25570302.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
161,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816715?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=177,Конверт-авиа к письму Любецкой Э.М. с адресами корреспондента и адресата.,,ГИМ 114846/1334,Письменные источники/Письменные источники,Арх. 6988,13 февраля 1990 г.,"Лист 1 - конверт: 9,9х23 см; лист 2 - марка: 2,6х2,6 см","Бумага, синяя шариковая ручка, печать типографская, рукопись",25570269.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
162,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816716?page=4&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=178,Письмо к Розановой М.А. и ее семье в Москву (СССР) от Любецкой Э.М. из г. Тель-Авива.,,ГИМ 114846/1335,Письменные источники/Письменные источники,Арх. 6988,19 февраля 1990 г.,"24,1х20,5 см","Бумага, черная шариковая ручка, рукопись",25570260.0,СССР,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.344,,,,,,,,,,,,
