,Reg number,Museum number,url,subject,query,Object type,Title,Type 1,Type 2,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Find|ProductionLocation,Toponym,"lat,lng",Production place - comment,Find spot 2,Find spot - comments,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Add ids,Cat no,Banknote serial number,Joined objects,Image
595,"18,510,902.62",84544,https://www.britishmuseum.org/collection/object/W_1851-0902-62,armenian,armenia,sealing,,,,,,"Part of a baked clay sealing with domed back with impressions of two oval seals. Each bears a four winged scarab-beetle and one line of inscription above, the second also has a star flanked by two ankh signs above. Marks of fibres inside. Incomplete; cracked; abraded; deposit.",,,,,,,Phoenician,,,,,,Kouyunjik,,fired clay,,,impressed,Length: 11 millimetres impression naming ʿAtarʿazar ; Length: 11 millimetres impression naming Ḥanan ; Length: 1 inches; Width: 7 millimetres impression naming ʿAtarʿazar ; Width: 6 millimetres impression naming Ḥanan ; Width: 1.125 centimetres,Inscription type: inscription Inscription position: one impression Inscription translation: Ḥanan(?); Inscription type: inscription Inscription position: one impression Inscription translation: Belonging to ʿAtarʿazar,"See also 1851,0902.57-65 (BM 84541-7), 1851,0902.94 (BM 84575), 1851,0902.383 (BM 84833). All ten impressions are much effaced, and several details, including the inscription, are uncertain. The Aramaic classification of our impression is founded on the association with the impression of ʿAtarʿazar.","Avigad & Sass 1997a / Corpus of West Semitic Stamp Seals; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Herbordt S 1992 / Neuassyrische Glyptik des 8.-7. Jh.v.Chr.; Levy M A 1857a / Phonizische Studien II; Levy M A 1869 / Siegel und Gemmen; CIS II/I / Inscriptiones Aramaicas continens; Galling K 1941 / Beschriftete Bildsiegel des ersten Jahrhundreds v.Chr.vornehmilch aus Syrien und Palestina; Barnett 1967a / Layard's Nimrud bronzes and their inscriptions; Vattioni F 1971 / I sigilli le monete e gli avori aramaici",Not on display,,Fair; incomplete; cracked; abraded; deposit.,symbol| insect| planet/constellation,,,,,From: Sir Austen Henry Layard,,,,1851,,,Middle East,84544,,,,,
596,"18,510,902.61",84543,https://www.britishmuseum.org/collection/object/W_1851-0902-61,armenian,armenia,sealing,,,,,,"Oval baked clay sealing with domed back. Impressions of two oval seals, each bears a four winged scarab-beetle and one line of inscription above, the second also has a star flanked by two ankh signs above. Incomplete; chipped; cracked; deposit.",,,,,,,Phoenician,,,,,,Kouyunjik,,fired clay,,,impressed,Length: 11 millimetres impression naming ʿAtarʿazar ; Length: 11 millimetres impression naming Ḥanan ; Length: 0.8125 inches; Width: 7 millimetres impression naming ʿAtarʿazar ; Width: 6 millimetres impression naming Ḥanan ; Width: 0.50 inches,Inscription type: inscription Inscription position: one impression Inscription translation: Ḥanan(?); Inscription type: inscription Inscription position: one impression Inscription translation: Belonging to ʿAtarʿazar,"See also 1851,0902.57-65 (BM 84541-7), 1851,0902.94 (BM 84575), 1851,0902.383 (BM 84833). All ten impressions are much effaced, and several details, including the inscription, are uncertain. The Aramaic classification of our impression is founded on the association with the impression of ʿAtarʿazar.","Avigad & Sass 1997a / Corpus of West Semitic Stamp Seals; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Herbordt S 1992 / Neuassyrische Glyptik des 8.-7. Jh.v.Chr.; Levy M A 1857a / Phonizische Studien II; Levy M A 1869 / Siegel und Gemmen; CIS II/I / Inscriptiones Aramaicas continens; Galling K 1941 / Beschriftete Bildsiegel des ersten Jahrhundreds v.Chr.vornehmilch aus Syrien und Palestina; Barnett 1967a / Layard's Nimrud bronzes and their inscriptions; Vattioni F 1971 / I sigilli le monete e gli avori aramaici",Not on display,,Fair; incomplete; chipped; cracked; deposit.,symbol| insect| planet/constellation,,,,,From: Sir Austen Henry Layard,,,,1851,,,Middle East,84543,,,,,
597,"18,510,902.94",84575,https://www.britishmuseum.org/collection/object/W_1851-0902-94,armenian,armenia,sealing,,,,,,"Baked clay sealing with two seal-impressions with border line(?), double-line field dividers and depicting winged scarabs. Inscription in each impression. Perforated(?). Incomplete; nearly effaced; chipped; cracked; abraded; deposit.",,,,,,,Phoenician,,,,,,Kouyunjik,,fired clay,,,perforated (?); impressed,Length: 11 millimetres impression naming ʿAtarʿazar ; Length: 11 millimetres impression naming Ḥanan ; Length: 1 inches; Width: 7 millimetres impression naming ʿAtarʿazar ; Width: 6 millimetres impression naming Ḥanan ; Width: 1 inches,Inscription type: inscription Inscription position: one impression Inscription translation: Ḥanan(?); Inscription type: inscription Inscription position: one impression Inscription translation: Belonging to ʿAtarʿazar,"See also 1851,0902.57-65 (BM 84541-7), 1851,0902.94 (BM 84575), 1851,0902.383 (BM 84833). All ten impressions are much effaced, and several details, including the inscription, are uncertain. The Aramaic classification of our impression is founded on the association with the impression of ʿAtarʿazar.","Avigad & Sass 1997a / Corpus of West Semitic Stamp Seals; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Herbordt S 1992 / Neuassyrische Glyptik des 8.-7. Jh.v.Chr.; Levy M A 1857a / Phonizische Studien II; Levy M A 1869 / Siegel und Gemmen; CIS II/I / Inscriptiones Aramaicas continens; Galling K 1941 / Beschriftete Bildsiegel des ersten Jahrhundreds v.Chr.vornehmilch aus Syrien und Palestina; Barnett 1967a / Layard's Nimrud bronzes and their inscriptions; Vattioni F 1971 / I sigilli le monete e gli avori aramaici",Not on display,,Fair / poor; incomplete; nearly effaced; chipped; cracked; abraded; deposit.,symbol| insect,,,,,From: Sir Austen Henry Layard,,,,1851,,,Middle East,84575,,,,,
598,"18,510,902.64",84546,https://www.britishmuseum.org/collection/object/W_1851-0902-64,armenian,armenia,sealing,,,,,,"Baked clay sealing with two seal-impressions on domed back. Border line(?), double-line field dividers, four-winged uraeus with coiled tail in top register, bottom register effaced, traces of inscription in middle register. Very worn; cracked; abraded.",,,,,,,Phoenician,,,,,,Kouyunjik,,fired clay,,,impressed,Height: 2 centimetres; Length: 11 millimetres impression naming ʿAtarʿazar ; Length: 11 millimetres impression naming Ḥanan ; Weight: 3 grammes; Width: 7 millimetres impression naming ʿAtarʿazar ; Width: 6 millimetres impression naming Ḥanan ; Width: 2 centimetres,Inscription type: inscription Inscription position: one impression Inscription translation: Ḥanan(?); Inscription type: inscription Inscription position: one impression Inscription translation: Belonging to ʿAtarʿazar,"See also 1851,0902.57-65 (BM 84541-7), 1851,0902.94 (BM 84575), 1851,0902.383 (BM 84833). All ten impressions are much effaced, and several details, including the inscription, are uncertain. The Aramaic classification of our impression is founded on the association with the impression of ʿAtarʿazar.","Avigad & Sass 1997a / Corpus of West Semitic Stamp Seals; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Herbordt S 1992 / Neuassyrische Glyptik des 8.-7. Jh.v.Chr.; Levy M A 1857a / Phonizische Studien II; Levy M A 1869 / Siegel und Gemmen; CIS II/I / Inscriptiones Aramaicas continens; Galling K 1941 / Beschriftete Bildsiegel des ersten Jahrhundreds v.Chr.vornehmilch aus Syrien und Palestina; Barnett 1967a / Layard's Nimrud bronzes and their inscriptions; Vattioni F 1971 / I sigilli le monete e gli avori aramaici",Not on display,"Exhibited:
2018 May-Sep, Hong Kong, Hong Kong Museum of History, An Age of Luxury",Fair; very worn; cracked; abraded.,serpent,,,,,From: Sir Austen Henry Layard,,,,1851,,,Middle East,84546,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_12/73a39380_722f_429c_a628_a3bc00d0ec9e/preview_00415632_001.jpg
599,"18,510,902.58",84541,https://www.britishmuseum.org/collection/object/W_1851-0902-58,armenian,armenia,sealing,,,,,,"Part of roughly domed baked clay sealing with marks of cloth. Two oval two seal-impressions each bearing a four winged scarab-beetle and one line of inscription above, the second also has a star flanked by two ankh signs above. Cracked; deposit; abraded(?).",,,,,,,Phoenician,,,,,,Kouyunjik,,fired clay,,,impressed,Length: 11 millimetres impression naming ʿAtarʿazar ; Length: 11 millimetres impression naming Ḥanan ; Length: 0.875 inches; Width: 7 millimetres impression naming ʿAtarʿazar ; Width: 6 millimetres impression naming Ḥanan ; Width: 0.875 inches,Inscription type: inscription Inscription position: one impression Inscription translation: Ḥanan(?); Inscription type: inscription Inscription position: one impression Inscription translation: Belonging to ʿAtarʿazar.,"See also 1851,0902.57-65 (BM 84541-7), 1851,0902.94 (BM 84575), 1851,0902.383 (BM 84833). All ten impressions are much effaced, and several details, including the inscription, are uncertain. The Aramaic classification of our impression is founded on the association with the impression of ʿAtarʿazar.","Avigad & Sass 1997a / Corpus of West Semitic Stamp Seals; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; CIS II/I / Inscriptiones Aramaicas continens; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Herbordt S 1992 / Neuassyrische Glyptik des 8.-7. Jh.v.Chr.; Levy M A 1857a / Phonizische Studien II; Levy M A 1869 / Siegel und Gemmen; Galling K 1941 / Beschriftete Bildsiegel des ersten Jahrhundreds v.Chr.vornehmilch aus Syrien und Palestina; Barnett 1967a / Layard's Nimrud bronzes and their inscriptions; Vattioni F 1971 / I sigilli le monete e gli avori aramaici",Not on display,,Fair; cracked; deposit; abraded?.,symbol| insect| planet/constellation,,,,,From: Sir Austen Henry Layard,,,,1851,,,Middle East,84541,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_7/1b0d7cdd_832a_43ab_b886_a3bb00753b54/preview_00312268_001.jpg
600,"18,510,902.44",84527,https://www.britishmuseum.org/collection/object/W_1851-0902-44,armenian,armenia,sealing; seal-impression; stopper,,,,,,"Baked clay sealing with seal-impression: this is part of a jar-stopper. The seal impression shows the king Shabako subduing an enemy, he lifts a short sword in his right(?) arm holding in his other arm an enemy whos representation has broken away. He is also holding a flail in this hand. Above in front of the king is a hieroglyphic inscription. The ""action"" referred to in the inscription is the whole of the ritual acts of the of which the ceremonial slaughter of the enemy was part. Behind the king there is another hieroglyphic inscription. To the left of the cartouche then a group of damaged hieroglyphs. Back shows mark otherwise smooth. Incomplete; worn. Deposit.",,,,,,,Late Period,,,,,,Kouyunjik,,fired clay,,,impressed,Length: 1.75 inches; Width: 1.125 inches,"Inscription type: inscription Inscription position: face Inscription script: hieroglyphic Inscription transliteration: nṯr nfr šʒbʒ-kʒ nb ir iḫt Inscription translation: The good god Shabako, Lord of action Inscription note: Impressed in cartouche.; Inscription type: inscription Inscription position: face Inscription script: hieroglyphic Inscription transliteration: sʒ ʿnh ḥʒ Inscription translation: Protection and Life around (him) Inscription note: Impressed behind king.; Inscription type: inscription Inscription position: face Inscription script: hieroglyphic Inscription transliteration: dr.n nk Inscription translation: I have given thee Inscription note: Impressed to left of cartouche.","There was no room, on the original seal, for a god who is usually represented to say these words; the prisoner, too, must have been kneeling and of small status to fit into the frame.
The back of the fragment shows the impression of fine linen. Petrie describes similar stopper of Shabako, found at Tell Defenneh thus: ""This (pottery plus) fastened down sometimes with string alone sometimes by a piece of thin linen beneath the string; the cast of the linen, as thin as muslin, may be seen in the plaster cap. Petrie, 'Tanis' II p. 72; see Pl. XXXVI 4.""","Giveon R 1985a / Egyptian scarabs from Western Asia from the collections of the British Museum; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Hall 1913 / Catalogue of Egyptian scarabs, etc. in the British Museum; Porter and Moss 1951 / Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs and Paintings 7: Nubia, the Deserts, and Outside Egypt.",Not on display,,Fair; incomplete; worn; deposit.,king/queen| arms/armour,Named in inscription & portrayed: Shabaqo,,,,,,,,1851,,,Middle East,84527,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/524a78c7_639b_44df_8a3e_a3b9007f843e/preview_00351235_001.jpg
601,"18,510,902.43",84884,https://www.britishmuseum.org/collection/object/W_1851-0902-43,armenian,armenia,sealing; seal-impression; stopper,,,,,,"Baked clay sealing with seal-impression: this is part of a jar-stopper. The seal impression shows the king Shabako subduing an enemy, he lifts a short sword in his right(?) arm holding in his other arm an enemy whos representation has broken away. He is also holding a flail in this hand. Above in front of the king is a hieroglyphic inscription. The ""action"" referred to in the inscription is the whole of the ritual acts of the of which the ceremonial slaughter of the enemy was part. Behind the king there is another hieroglyphic inscription. To the left of the cartouche then a group of damaged hieroglyphs. There is an additional seal impression showing two persons, in Assyrian style. Incomplete; very worn. Chipped and abraded. Deposit.",,,,,,,Late Period,,,,,,Kouyunjik,,clay,,,impressed,Length: 1.875 inches; Width: 1.25 inches,"Inscription type: inscription Inscription position: face Inscription script: hieroglyphic Inscription transliteration: nṯr nfr šʒbʒ-kʒ nb ir iḫt Inscription translation: The good god Shabako, Lord of action Inscription note: Impressed in cartouche.; Inscription type: inscription Inscription position: face Inscription script: hieroglyphic Inscription transliteration: sʒ ʿnh ḥʒ Inscription translation: Protection and Life around (him) Inscription note: Impressed behind king.; Inscription type: inscription Inscription position: face Inscription script: hieroglyphic Inscription transliteration: dr.n nk Inscription translation: I have given thee Inscription note: Impressed to left of cartouche.","There was no room on the original seal, for a god who is usually represented to say these words; the prisoner, too, must have been kneeling and of small status to fit into the frame.
The back of the fragment shows the impression of fine linen. Petrie describes similar stopper of Shabako, found at Tell Defenneh thus: ""This (pottery plus) fastened down sometimes with string alone sometimes by a piece of thin linen beneath the string; the cast of the linen, as thin as muslin, may be seen in the plaster cap. Petrie, 'Tanis' II p. 72; see Pl. XXXVI 4.""","Giveon R 1985a / Egyptian scarabs from Western Asia from the collections of the British Museum; Leichty E et al 1988a / Catalogue of the Babylonian Tablets in the British Museum, volume VIII: Tablets from Sippar 3; Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert; Hall 1913 / Catalogue of Egyptian scarabs, etc. in the British Museum; Porter and Moss 1951 / Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs and Paintings 7: Nubia, the Deserts, and Outside Egypt.",Not on display,,Fair; incomplete; very worn; chipped; abraded; deposit.,king/queen| arms/armour,Named in inscription & portrayed: Shabaqo,,,,,,,,1851,,,Middle East,84884,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/524a78c7_639b_44df_8a3e_a3b9007f843e/preview_00351235_001.jpg
602,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2325,armenian,armenia,stamp-cylinder seal,,,,,,"Dark stone stamp-cylinder seal; sides: recumbent quadruped, quadruped, human figure(?), crescent, design between rules; base: recumbent quadruped, fillers.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 12 millimetres; Height: 24 millimetres,,,,Not on display,,,mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1493 (Lambert Collection Number),,,,
603,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2335,armenian,armenia,stamp-cylinder seal,,,,,,"Stamp-cylinder seal, pierced handle; grey-green stone; base: walking winged quadruped with large horns; sides: frieze of three walking quadrupeds, two winged.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",archaic,,,stone,,,engraved,Diameter: 13 millimetres; Height: 23 millimetres,,,,Not on display,,,mythical figure/creature,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 3655 (Lambert Collection Number),,,,
604,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2303,armenian,armenia,stamp-cylinder seal,,,,,,"Stamp-cylinder seal; soft black stone; two walking, winged horned animals (with different horns), two animal protomes, base: walking mythological bird.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 13 millimetres; Height: 27 millimetres,,,,Not on display,,,mythical figure/creature|mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 788 (Lambert Collection Number),,,,
605,"20,136,001.29","20,136,001.29",https://www.britishmuseum.org/collection/object/W_2013-6001-2874,armenian,armenia,stamp-cylinder seal,,,,,,Stamp-cylinder seal; loop at top of seal for suspension; black stone flecked with light green; base engraved with depiction of horned goat.,,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 13 millimetres; Height: 23 millimetres; Width: 13 millimetres,,,,Not on display,,,mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 774 (Lambert Collection Number),,,,
606,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2311,armenian,armenia,stamp-cylinder seal,,,,,,"Green stone stamp-cylinder seal; cylinder: frieze of two walking winged quadrupeds (fleur-de-lys between legs of one) separated by sun-disc and protome of horned quadruped, crescent in sky; stamp: recumbent winged quadruped, crescent.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 14.50 millimetres; Height: 25.50 millimetres,,,,Not on display,,,mythical figure/creature,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1228 (Lambert Collection Number),,,,
607,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2331,armenian,armenia,stamp-cylinder seal,,,,,,"Black stone stamp-cylinder seal, ridged, pierced loop for suspension; sides: frieze of two walking winged quadrupeds, one with plant(?) over back, one with star; base: prancing horned quadruped, star over back.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",archaic,,,stone,,,engraved,Height: 14 millimetres; Length: 27 millimetres; Width: 14 millimetres,,,,Not on display,,,mythical figure/creature|mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 3024 (Lambert Collection Number),,,,
608,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2330,armenian,armenia,stamp-cylinder seal,,,,,,"Stamp-cylinder seal; black stone; base: bird with wing raised, holding something in mouth, crescent above; sides: winged bull and winged gazelle(?), both walking, separated by trees, four dots.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Height: 29 millimetres; Length: 17 millimetres; Width: 17 millimetres,,,,Not on display,,,mythical figure/creature|bird,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 2377 (Lambert Collection Number),,,,
609,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2318,armenian,armenia,stamp-cylinder seal,,,,,,"Stamp-cylinder seal, sides worn, loop broken off, secondary hole; brown stone; sides: three prancing quadrupeds, one a winged lion; base: joined front parts of horse and bull(?), crescent above, plant motif below.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Height: 13 millimetres; Length: 20 millimetres; Width: 13.50 millimetres,,,,Not on display,,,cattle|mythical figure/creature| horse/ass,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1291 (Lambert Collection Number),,,,
610,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2319,armenian,armenia,stamp-seal,,,,,,"Green stone stamp-seal, loop for suspension; face engraved with depiction of bird(?) with motif above.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,,,,,Not on display,,,bird,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1296 (Lambert Collection Number),,,,
611,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2314,armenian,armenia,stamp-seal,,,,,,"Stamp-seal, bell-shaped; shiny black stone; engraved with depiction of recumbent winged bull.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,,,,,Not on display,,,mythical figure/creature,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1261 (Lambert Collection Number),,,,
612,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2305,armenian,armenia,stamp-seal,,,,,,Bronze stamp-seal; recumbent horned quadruped within circle of dots.,,,,,,,Urartian,900BC-700BC,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,copper alloy,,,cast,Height: 17 millimetres; Length: 10 millimetres; Width: 11 millimetres,,,,Not on display,,,mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1022 (Lambert Collection Number),,,,
613,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2324,armenian,armenia,stamp-seal,,,,,,"Brown stone stamp-seal, cone, top chipped; engraved with depiction of running boar below fish.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 21 millimetres; Length: 15 millimetres,,,,Not on display,,,mammal| fish,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1472 (Lambert Collection Number),,,,
614,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2321,armenian,armenia,stamp-seal,,,,,,Ivory bifacial stamp-seal; engraved with depiction of recumbent winged quadruped.,,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,ivory,,,engraved,Height: 6.50 millimetres; Length: 16 millimetres; Width: 33.50 millimetres,,,,Not on display,,,mythical figure/creature,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1343 (Lambert Collection Number),,,,
615,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2310,armenian,armenia,stamp-seal,,,,,,"Stamp-seal, bell-shaped with loop at top for suspension; translucent stone; recumbent stag, large bird, partial notched line around.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 13 millimetres; Length: 22 millimetres,,,,Not on display,,,mammal|bird,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1224 (Lambert Collection Number),,,,
616,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2320,armenian,armenia,stamp-seal,,,,,,"Stamp seal, round face; light-coloured stone; recumbent horned animal with head turned back, crescent above.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Height: 11 millimetres; Length: 12.50 millimetres; Width: 12 millimetres,,,,Not on display,,,mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1299 (Lambert Collection Number),,,,
617,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2323,armenian,armenia,stamp-seal,,,,,,"Ivory/bone stamp-seal, two grooves on handle, damage to side of face; engraved with depiction of lion ready to pounce, tail railed over back, dot.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,ivory; bone,,,engraved,,,,,Not on display,,,mammal,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1361 (Lambert Collection Number),,,,
618,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2332,armenian,armenia,stamp-seal,,,,,,"Stamp-seal, bell shaped with pierced handle; translucent stone; engraved with depiction of two standing figures, first figure holding lyre.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",archaic,,,stone,,,engraved,Height: 23 millimetres; Length: 11 millimetres; Width: 11 millimetres,,,,Not on display,,,musical instrument,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 3222 (Lambert Collection Number),,,,
619,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2317,armenian,armenia,stamp-seal,,,,,,Conoid stamp-seal; black stone with light green inclusions; engraved with depiction of bird with head of horned animal.,,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Height: 14 millimetres; Length: 10 millimetres; Width: 10 millimetres,,,,Not on display,,,mythical figure/creature,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1278 (Lambert Collection Number),,,,
620,"20,136,001.23","20,136,001.23",https://www.britishmuseum.org/collection/object/W_2013-6001-2322,armenian,armenia,stamp-seal,,,,,,"Stamp-seal, bell shaped with two grooves on handle; translucent whitish stone; kneeling figure in long robe holding up stag by hind legs.",,,,,,,Urartian,,Made in|Made in|Made in,Republic of Turkey|Republic of Armenia|Islamic Republic of Iran,"39,35|40.25,45|32,53",?|archaic|?|?,,,stone,,,engraved,Diameter: 15 millimetres; Length: 14.50 millimetres,,,,Not on display,,,,,,,,Bequeathed by: Prof Wilfred George Lambert,,,,2013,,,Middle East,,Miscellaneous number: 1360 (Lambert Collection Number),,,,
